Report Date:,04/08/2023 12:11:29
Report User Name:,s0678844
Report Computer Name:,SCE-CHEM-C01300
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,Wag_Res_1_tea_2023-08-04_12-11-21-667.wsl
Create Date,04/08/2023 12:11:19

Device Properties
Device,Rugged TROLL 100
Site,Langwell
Device Name, 
Serial Number,919950
Firmware Version,1.06
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,0

Log Configuration
,Log Name,Wag_Res_1_tea
,Created By,s0678844
,Computer Name,SCE-CHEM-C01300
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,02/08/2022 23:20:10 GMT Daylight Time
,Log Setup Time Zone,GMT Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,03/08/2022 22:00:00 GMT Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Level Depth To Water
,              Specific Gravity,0.999
,                Level Reminder:,Enabled
,          Level Reference Mode:,Unknown
,         Level Reference Value:,3.40282e+38 (mm)
, Level Reference Head Pressure,0 (mmHg)


Other Log Settings
,Depth of Probe:,10005 (mm)
,Head Pressure:,735.193 (mmHg)
,Temperature:,25.6001 (C)



Log Notes:
Date and Time,Note
02/08/2022 23:20:22,Used Battery: 0% Used Memory: 3%   User Name: s0678844
03/08/2022 13:45:46,Sensor SN: 919950 Level calibration.
,Set new reference: 415
,Depth: 9918.85(mm)
,Level Reference Head Pressure: 728.86(mmHg)
,Pressure Offset: 0(mmHg)
,Temperature: 18.8742(C)
,User Name: s0678844
04/08/2023 12:07:40,Log Download - Used Battery: 7% Used Memory: 9%   User Name: s0678844


Log Data:
Record Count,8775

Sensors,1

 ,1,919950,Pressure/Temp PSIA (9m/30ft)

Time Zone: GMT Daylight Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 919950                             ,SN#: 919950                             ,SN#: 919950                             ,
08/08/2022 01:00:00,  356400.000,                                 805.761,                                  10.811,                                -631.521,
08/08/2022 02:00:00,  360000.000,                                 806.096,                                  10.863,                                -636.082,
08/08/2022 03:00:00,  363600.000,                                 806.055,                                  10.863,                                -635.526,
08/08/2022 04:00:00,  367200.000,                                 805.443,                                  10.863,                                -627.198,
08/08/2022 05:00:00,  370800.000,                                 805.647,                                  10.863,                                -629.975,
08/08/2022 06:00:00,  374400.000,                                 805.688,                                  10.863,                                -630.532,
08/08/2022 07:00:00,  378000.000,                                 805.688,                                  10.863,                                -630.532,
08/08/2022 08:00:00,  381600.000,                                 805.802,                                  10.811,                                -632.075,
08/08/2022 09:00:00,  385200.000,                                 805.892,                                  10.863,                                -633.306,
08/08/2022 10:00:00,  388800.000,                                 805.933,                                  10.863,                                -633.859,
08/08/2022 11:00:00,  392400.000,                                 805.924,                                  10.811,                                -633.739,
08/08/2022 12:00:00,  396000.000,                                 805.974,                                  10.863,                                -634.415,
08/08/2022 13:00:00,  399600.000,                                 806.096,                                  10.863,                                -636.082,
08/08/2022 14:00:00,  403200.000,                                 806.006,                                  10.811,                                -634.852,
08/08/2022 15:00:00,  406800.000,                                 806.259,                                  10.863,                                -638.303,
08/08/2022 16:00:00,  410400.000,                                 806.545,                                  10.863,                                -642.188,
08/08/2022 17:00:00,  414000.000,                                 806.626,                                  10.863,                                -643.299,
08/08/2022 18:00:00,  417600.000,                                 806.699,                                  10.811,                                -644.289,
08/08/2022 19:00:00,  421200.000,                                 806.545,                                  10.863,                                -642.188,
08/08/2022 20:00:00,  424800.000,                                 806.985,                                  10.811,                                -648.175,
08/08/2022 21:00:00,  428400.000,                                 807.198,                                  10.863,                                -651.070,
08/08/2022 22:00:00,  432000.000,                                 807.157,                                  10.863,                                -650.519,
08/08/2022 23:00:00,  435600.000,                                 807.311,                                  10.811,                                -652.617,
09/08/2022 00:00:00,  439200.000,                                 807.402,                                  10.863,                                -653.848,
09/08/2022 01:00:00,  442800.000,                                 807.361,                                  10.863,                                -653.293,
09/08/2022 02:00:00,  446400.000,                                 806.790,                                  10.863,                                -645.521,
09/08/2022 03:00:00,  450000.000,                                 806.953,                                  10.863,                                -647.740,
09/08/2022 04:00:00,  453600.000,                                 807.075,                                  10.863,                                -649.405,
09/08/2022 05:00:00,  457200.000,                                 806.994,                                  10.863,                                -648.294,
